"TCP","EEBO","VID","STC","Status","Author","Date","Title","Terms","Pages"
"A26092","11665663","48021","Wing A4062; ESTC R9521","Free","Astell, Mary, 1668-1731.","1694","A serious proposal to the ladies, for the advancement of their true and greatest interest by a lover of her sex.","Women -- Education -- Early works to 1800.; Conduct of life -- Early works to 1800.; Feminism -- Early works to 1800.",178
"A28298","12756555","93441","Wing B3080; ESTC R23258","Free","Blackmore, Richard, Sir, d. 1729.","1695","Prince Arthur an heroick poem in ten books / by Richard Blackmore ...","Arthur, -- King.",320
"A29968","12137648","54794","Wing B5298; ESTC R4582","Free","Buchanan, George, 1506-1582.; Milton, John, 1608-1674.","1642","Tyrannicall-government anatomized, or, A discovrse concerning evil-councellors being the life and death of John the Baptist : and presented to the Kings most excellent Majesty by the Author.; Baptistes. English","John, -- the Baptist, Saint.",31
"A30402","12034878","52867","Wing B5848; ESTC R14762","Free","Burnet, Gilbert, 1643-1715.","1700","Reflections on a book entituled (The rights, powers, and privileges of an English convocation, stated and vindicated) by Gilbert, Bishop of Sarum.","Atterbury, Francis, 1662-1732. -- Rights, powers and privileges of an English convocation.; Church of England -- Government.",34
"A30483","11791725","49228","Wing B5944; ESTC R3915","Free","Burnet, Thomas, 1635?-1715.; Locke, John, 1632-1704.","1697","Remarks upon An essay concerning humane understanding in a letter address'd to the author.","Locke, John, 1632-1704. -- Essay concerning human understanding.; Knowledge, Theory of -- Early works to 1800.",18
"A53044","12254826","57346","Wing N850; ESTC R13228","Free","Newcastle, Margaret Cavendish, Duchess of, 1624?-1674.; Newcastle, William Cavendish, Duke of, 1592-1676.","1668","The description of a new world, called the blazing-world written by the thrice noble, illustrious, and excellent princesse, the Duchess of Newcastle.","Voyages, Imaginary.",168
"A38258","12283619","58806","Wing E268; ESTC R18840","Free","Charles I, King of England, 1600-1649.; Gauden, John, 1605-1662.","1648","Eikōn basilikē, The pourtraicture of His Sacred Majestie in his solitudes and sufferings; Eikon basilike.","Great Britain -- History -- Civil War, 1642-1649.; Great Britain -- Politics and government -- 1642-1649.",280
"A36581","12265140","58013","Wing D2214; ESTC R1552","Free","Dryden, John, 1631-1700.","1681","Absalom and Achitophel a poem.; Absalom and Achitophel","Shaftesbury, Anthony Ashley Cooper, -- Earl of, 1621-1683 -- Poetry.; Monmouth, James Scott, -- Duke of, 1649-1685 -- Poetry.; Great Britain -- History -- Charles II, 1660-1685 -- Poetry.",34
"A36643","13429983","99523","Wing D2304; ESTC R1438","Free","Dryden, John, 1631-1700.","1692","MacFlecknoe","Shadwell, Thomas, 1642?-1692 -- In literature.",10
"A41307","12756174","93433","Wing F920; ESTC R32803","Free","Filmer, Robert, Sir, d. 1653.","1696","Observations concerning the original and various forms of government as described, viz. 1st. Upon Aristotles politiques. 2d. Mr. Hobbs's Laviathan. 3d. Mr. Milton against Salmatius. 4th. Hugo Grotius De jure bello. 5th. Mr. Hunton's Treatise of monarchy, or the nature of a limited or mixed monarchy / by the learned Sir R. Filmer, Barronet ; to which is added the power of kings ; with directions for obedience to government in dangerous and doubtful times.","Political science -- Early works to 1800.; Witchcraft.",546
"A41308","11209688","46808","Wing F922; ESTC R29832","Free","Filmer, Robert, Sir, d. 1653.","1680","Patriarcha, or, The natural power of Kings by the learned Sir Robert Filmer.","Political science -- Early works to 1800.; Monarchy.",156
