"TCP","EEBO","VID","STC","Status","Author","Date","Title","Terms","Pages"
"K016527.001",NA,"","","Free","Richardson, Samuel, 1689-1761.","1753","The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ...; Sir Charles Grandison","",323
"K016527.002",NA,"","","Free","Richardson, Samuel, 1689-1761.","1753","The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ...; Sir Charles Grandison","",359
"K016527.003",NA,"","","Free","Richardson, Samuel, 1689-1761.","1753","The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ...; Sir Charles Grandison","",378
"K016527.004",NA,"","","Free","Richardson, Samuel, 1689-1761.","1753","The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ...; Sir Charles Grandison","",303
"K016527.005",NA,"","","Free","Richardson, Samuel, 1689-1761.","1753","The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ...; Sir Charles Grandison","",295
"K016527.006",NA,"","","Free","Richardson, Samuel, 1689-1761.","1753","The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ...; Sir Charles Grandison","",373
"K016527.007",NA,"","","Free","Richardson, Samuel, 1689-1761.","1753","The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ...; Sir Charles Grandison","",393
"K051638.001",NA,"","","Free","Richardson, Samuel, 1689-1761.","1748","Clarissa: Or, the history of a young lady: comprehending the most important concerns of private life. ... Published by the editor of Pamela. ...","",325
"K051638.002",NA,"","","Free","Richardson, Samuel, 1689-1761.","1748","Clarissa: Or, the history of a young lady: comprehending the most important concerns of private life. ... Published by the editor of Pamela. ...","",314
"K051638.003",NA,"","","Free","Richardson, Samuel, 1689-1761.","1748","Clarissa: Or, the history of a young lady: comprehending the most important concerns of private life. ... Published by the editor of Pamela. ...","",367
"K051638.004",NA,"","","Free","Richardson, Samuel, 1689-1761.","1748","Clarissa: Or, the history of a young lady: comprehending the most important concerns of private life. ... Published by the editor of Pamela. ...","",369
"K051638.005",NA,"","","Free","Richardson, Samuel, 1689-1761.","1748","Clarissa: Or, the history of a young lady: comprehending the most important concerns of private life. ... Published by the editor of Pamela. ...","",379
"K051638.006",NA,"","","Free","Richardson, Samuel, 1689-1761.","1748","Clarissa: Or, the history of a young lady: comprehending the most important concerns of private life. ... Published by the editor of Pamela. ...","",406
"K051638.007",NA,"","","Free","Richardson, Samuel, 1689-1761.","1748","Clarissa: Or, the history of a young lady: comprehending the most important concerns of private life. ... Published by the editor of Pamela. ...","",437
"K089369.003",NA,"","","Free","Richardson, Samuel, 1689-1761.","1741","Pamela: or, virtue rewarded. In a series of familiar letters from a beautiful young damsel to her parents: and afterwards, in her exalted condition, between her, and persons of figure and quality, ... The third and fourth volumes. ... By the editor of the two first. ...","",424
"K089369.004",NA,"","","Free","Richardson, Samuel, 1689-1761.","1741","Pamela: or, virtue rewarded. In a series of familiar letters from a beautiful young damsel to her parents: and afterwards, in her exalted condition, between her, and persons of figure and quality, ... The third and fourth volumes. ... By the editor of the two first. ...","",473
"K089370.001",NA,"","","Free","Richardson, Samuel, 1689-1761.","1741","Pamela: or, virtue rewarded. In a series of familiar letters from a beautiful young damsel, to her parents. ... In two volumes. The third edition. To which are prefixed, extracts from several curious letters written to the editor on the subject. ...","",345
